APP					0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
#"Lightweight page migration"	19.28	21.28	22.22		14	14.76		11.09	7.36	8.55	10.48	
"CFS+vProber"					1.7676767676767675 1.4141414141414141 1.1111111111111112 1.5656565656565657 2.0202020202020203 0.9090909090909091 1.3131313131313131 1.9191919191919191 1.4141414141414141 1.4646464646464648 2.0202020202020203 1.7171717171717171 22.272727272727273 21.11111111111111 20.05050505050505 17.929292929292927
"Huge Booking and EMA"	4.193971166448231 4.193971166448231 6.028833551769332 5.111402359108781 5.242463958060288 4.3250327653997385 4.193971166448231 4.849279161205767 4.587155963302752 3.1454783748361725 2.8833551769331587 4.849279161205767 13.630406290956751 13.237221494102227 12.7129750982962 6.8152031454783755
